feature,importance
spread_std_60,0.07347953101854257
spread_ma_60,0.065211383702538
bohai_port_inventory_ma20,0.05511881449689686
spread_macd,0.04050306028393636
J_ma_20,0.04000638299657181
distance_to_high,0.037077407458574824
J_ma_50,0.035958608016427994
J_volume_ma_20,0.032783235093079885
spread,0.031440602777658797
JM_volume_ma_20,0.02931548237309727
spread_diff_1d,0.028916801556309636
bohai_port_inventory,0.028245860673898494
bohai_port_rail_inflow_ma20,0.02711184059247361
spread_diff_5d,0.025416275681165352
spread_std_10,0.02403290063959396
spread_diff_10d,0.023267824197174755
spread_diff_20d,0.02300380979819534
JM_ma_50,0.022638722841959055
JM_ma_20,0.02125328393308806
JM_ma_10,0.021071947096526104
JM_ma_5,0.02067485920855552
spread_max_10,0.02060243360847476
coking_coal_warehouse_receipt_ma20,0.019424136838181453
coke_warehouse_receipt_ma20,0.01929400187876823
RB_close,0.019008458568392193
spread_min_60,0.015184374614893803
spread_std_5,0.014450242214074214
J_ma_5,0.014233938133509691
coke_warehouse_receipt,0.013042111756967026
spread_std_20,0.013015877807583585
spread_std,0.012545430848522984
spread_max_60,0.011678564459003412
distance_to_low,0.011098719719875734
spread_ema_26,0.010513149110455259
bohai_port_rail_inflow,0.010269055496366024
spread_mean,0.009354719784416037
J_ma_10,0.009291832152596075
spread_ma_5,0.009097293082384637
spread_min_20,0.008176539305114396
spread_percentile,0.00800026602158861
spread_min,0.007710401677257909
spread_min_5,0.006530530806695966
spread_ema_12,0.006072187496791721
spread_max_5,0.005233870458176647
spread_ma_10,0.004495896399227087
spread_ma_20,0.004432195066644254
spread_max_20,0.003606934551323666
spread_min_10,0.0032139012973624106
spread_max,0.002801878952164403
coking_coal_warehouse_receipt,0.0010924234569234903
