feature,importance
CL_volume_ma_20,0.04201183464371373
CL_ma_50,0.04090688792424709
RBOB_volume_ma_20,0.03925923463579567
HO_volume_ma_20,0.03761438615959131
spread_std_60,0.03660401988568659
spread_kurt_60,0.036028942395042826
spread_ma_60,0.0352237308192957
CL_ma_20,0.03515611992904477
spread_zscore_60,0.033352996425133646
spread_min_60,0.03170906876301617
VIX_close,0.030357781996287428
DXY_close,0.02928483976704573
CL_ma_10,0.028888370687484562
CL_MACD,0.02470583941511378
CL_ma_5,0.02446862744736154
distance_to_low,0.02368502277748938
spread_diff_10d,0.023352585466309663
spread,0.021758836253363802
spread_std_10,0.021531488187985903
CL_MACD_signal,0.021101124306074918
spread_std,0.01909181712631565
spread_macd,0.019077552053443452
spread_min_10,0.01829528029742029
spread_min_20,0.018120945029282336
spread_kurt_20,0.016747135044561833
spread_std_5,0.016494914395698102
spread_ema_26,0.0164606819988739
HO_RSI_14,0.01610948672424387
spread_max_10,0.015934276750986905
distance_to_high,0.015191206854541258
spread_diff_20d,0.01488821293809186
spread_diff_1d,0.013812655798201184
spread_diff_5d,0.013503385871690055
spread_std_20,0.013462824493876046
spread_max_60,0.012918562115495325
spread_min_5,0.012425484977718532
RBOB_RSI_14,0.012218463197130758
spread_min,0.011671812850937291
spread_max_20,0.011325246996254557
spread_ma_5,0.011209886941100703
CL_RSI_14,0.01043260794215589
spread_max,0.010394810142086677
spread_ema_12,0.010215986908056562
spread_max_5,0.009428458464027456
spread_zscore_20,0.00906620830518157
spread_zscore,0.008650858344155092
spread_ma_20,0.00829497997795994
spread_ma_10,0.008051710852492504
spread_mean,0.006560492915134433
spread_percentile,0.002942315807801738
