timestamp,equity,available_capital,margin_used,unrealized_pnl,margin_usage_rate,position,leverage_ratio
2022-03-04 05:00:00,999606.760206509,934133.4324761742,65538.8731580356,-65.54542770075751,0.0655388731580356,-5999,0.6557121291102975
2022-03-07 05:00:00,1015794.9016131306,937602.5655962423,62742.08177139497,15450.254245493363,0.06274208177139497,-5743,0.602454848411444
2022-03-08 05:00:00,912076.8158360743,932660.4062646496,50757.39368098573,-71340.98410956112,0.05075739368098573,-4646,0.6347216713196946
2022-03-09 05:00:00,1044569.0028220126,926645.3064736371,56742.56760239119,61181.12874598429,0.056742567602391186,-5269,0.48464442838171023
2022-03-10 05:00:00,1100062.4469327794,922630.8660455985,60737.03568999174,116694.54519718899,0.06073703568999174,-5736,0.4460435978619599
2022-03-11 05:00:00,1052866.3400371065,935725.0715260196,54616.74164731126,62524.52686377564,0.054616741647311264,-5158,0.45935829764706093
2022-03-14 04:00:00,1047724.7025134872,935534.6185658408,54806.24708032499,57383.83686732143,0.05480624708032499,-5178,0.46832782768106196
2022-03-15 04:00:00,1073571.7299269044,933198.2413302708,57131.00054855379,83242.4880480798,0.057131000548553794,-5437,0.45462031444390655
2022-03-16 04:00:00,1039480.9300785769,940099.1760103751,53411.23336183537,45970.52070636635,0.05341123336183538,-5083,0.46960150858668226
2022-03-17 04:00:00,980021.421112569,944223.3437128271,47852.59821558101,-12054.520815839109,0.047852598215581015,-4554,0.5005814081234242
2022-03-18 04:00:00,973852.0608490176,944442.3418573444,47495.33244058546,-18085.61344891233,0.04749533244058546,-4520,0.5062770390657989
2022-03-21 04:00:00,985540.1950075981,943415.0080128073,48517.555171468026,-6392.368176677225,0.048517555171468024,-4616,0.4987801840873346
2022-03-22 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-23 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-24 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-25 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-28 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-29 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-30 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-03-31 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-01 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-04 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-05 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-06 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-07 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-08 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-11 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-12 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-13 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-14 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-18 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-19 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-20 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-21 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-22 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-25 04:00:00,983845.705101051,983845.705101051,0.0,0.0,0.0,0,0.0
2022-04-26 04:00:00,983446.6874350826,917011.3600684893,66501.83585329515,-66.50848670190726,0.06650183585329515,-4080,0.6762795335192541
2022-04-27 04:00:00,911748.67919084,916003.451235561,54586.92359624644,-58841.69564096742,0.05458692359624644,-3349,0.6632430026003453
2022-04-28 04:00:00,867084.0695930253,912221.80476071,50397.95991627172,-95535.69508395648,0.05039795991627172,-3092,0.6914154178014852
2022-04-29 04:00:00,914915.0419644952,909460.7086081184,53145.31927208434,-47690.98591570758,0.053145319272084345,-3246,0.6330032320738974
2022-05-02 04:00:00,987830.053017269,903709.5163575864,58867.898625847505,25252.63803383511,0.05886789862584751,-3613,0.5703676928067608
2022-05-03 04:00:00,979153.7615185563,904832.0540815821,57988.05735106318,16333.65008591099,0.05798805735106318,-3559,0.575544869021106
2022-05-04 04:00:00,974550.9377631911,905026.9934575405,57825.12378165867,11698.820523991799,0.057825123781658674,-3549,0.58134715727939
2022-05-05 04:00:00,1000630.9200435653,903083.4933138617,59758.95477039387,37788.47195930982,0.05975895477039388,-3676,0.559448108719503
2022-05-06 04:00:00,999743.5284819127,902976.2015723686,59865.71272212827,36901.61418741579,0.05986571272212827,-3683,0.5618996242835196
2022-05-09 04:00:00,980621.6328743226,905537.0563846086,57882.65082907922,17201.925660634708,0.057882650829079216,-3561,0.5727230195646069
2022-05-10 04:00:00,960516.5648125076,907163.5458128745,56159.66262692185,-2806.643627288791,0.05615966262692185,-3455,0.5876038900033739
2022-05-11 04:00:00,977631.196176249,905762.7751203758,57553.46431100006,14314.95674487309,0.057553464311000065,-3543,0.5740607384054365
2022-05-12 04:00:00,955704.7480728297,906798.7201657246,56351.388003064974,-7445.360095959994,0.056351388003064974,-3469,0.5974222073061206
2022-05-13 04:00:00,951934.0375879466,906966.5762251904,56140.212435454756,-11172.751072698462,0.05614021243545476,-3456,0.601485872779654
2022-05-16 04:00:00,973477.5666544302,905043.9387613751,58053.28453875351,10380.343354301509,0.05805328453875351,-3576,0.585686328646163
2022-05-17 04:00:00,994798.906308359,903316.6150105636,59772.0146390635,31710.276658731877,0.059772014639063495,-3688,0.5689691314924469
2022-05-18 04:00:00,1051890.6693256048,996825.8117174254,55119.972068802075,-55.11446062272415,0.05511997206880208,3999,0.5239561698752889
2022-05-19 04:00:00,1078572.0815349892,994022.7990235607,57909.03942588133,26640.243085547092,0.05790903942588133,4192,0.5616042244319025
2022-05-20 04:00:00,1058286.5275524051,992282.1798147395,59640.99883764368,6363.34890002194,0.059640998837643684,4316,0.5695748000029321
2022-05-23 04:00:00,1087475.5305726049,995775.617755701,57443.84433922261,34256.06847768129,0.05744384433922261,4157,0.5597316856862079
2022-05-24 04:00:00,1100871.8871379455,995339.4203212756,57877.871637158234,47654.5951795117,0.05787787163715823,4186,0.569033798455604
2022-05-25 04:00:00,1115987.4108717523,994630.8210827382,58582.94550634964,62773.644282664354,0.05858294550634964,4232,0.5811921290756366
2022-05-26 04:00:00,1102538.2905856702,991824.9529861226,61374.85406019602,49338.48353935141,0.06137485406019602,4418,0.6014185899966148
2022-05-27 04:00:00,1147358.450657926,1002324.3004922463,57221.146191477455,87813.00397420244,0.05722114619147745,4119,0.5752556801324828
2022-05-31 04:00:00,1189873.7403924325,1003505.5085191843,56859.954202893234,129508.27767035503,0.056859954202893234,4093,0.5867074766008739
2022-06-01 04:00:00,1188609.98928344,1003265.9386039579,57098.33222799421,128245.71845148793,0.05709833222799421,4107,0.5882745787396285
2022-06-02 04:00:00,1221136.8497793404,1014490.7652709951,54150.96275335706,152495.12175498833,0.05415096275335706,3895,0.5683267599482938
2022-06-03 04:00:00,1228737.5132832548,1157758.796981907,71049.7731802162,-71.0568788681428,0.0710497731802162,-3940,0.5782917677693026
