prediction,upper_threshold,lower_threshold,signal,signal_strength
-1.4478547457884314,0.28189124892939477,-5.079466098582057,0,0.0
-0.6052550701341427,0.28189124892939477,-5.079466098582057,0,0.0
-1.592636356839251,0.28189124892939477,-5.079466098582057,0,0.0
-0.6220928227588094,0.28189124892939477,-5.079466098582057,0,0.0
-1.9377292467517417,0.28189124892939477,-5.079466098582057,0,0.0
-0.801934648332804,0.28189124892939477,-5.079466098582057,0,0.0
-1.1551512961856532,0.28189124892939477,-5.079466098582057,0,0.0
-2.3031926674412797,0.28189124892939477,-5.079466098582057,0,0.0
-1.0951491077143156,0.28189124892939477,-5.079466098582057,0,0.0
-0.20646274122568692,0.28189124892939477,-5.079466098582057,0,0.0
-0.3792486093420331,0.28189124892939477,-5.079466098582057,0,0.0
-0.9597926387253006,0.28189124892939477,-5.079466098582057,0,0.0
-1.353940443115487,0.28189124892939477,-5.079466098582057,0,0.0
-0.9954696560822414,0.28189124892939477,-5.079466098582057,0,0.0
-1.31472374840327,0.28189124892939477,-5.079466098582057,0,0.0
-0.8328419982189494,0.28189124892939477,-5.079466098582057,0,0.0
-1.2537585742486759,0.28189124892939477,-5.079466098582057,0,0.0
-2.907121142092944,0.28189124892939477,-5.079466098582057,0,0.0
-2.730149868938195,0.28189124892939477,-5.079466098582057,0,0.0
-3.6763138620038665,0.28189124892939477,-5.079466098582057,0,0.0
-5.773051533729358,0.28189124892939477,-5.079466098582057,-1,0.1293675071797328
-4.18036327151095,0.28189124892939477,-5.079466098582057,-1,0.0
-6.341904671493154,0.28189124892939477,-5.079466098582057,-1,0.23546995491674788
-2.569851674571798,0.28189124892939477,-5.079466098582057,-1,0.0
-1.1304555686302231,0.28189124892939477,-5.079466098582057,-1,0.0
-2.2568014967610175,0.28189124892939477,-5.079466098582057,-1,0.0
-2.5269750517135496,0.28189124892939477,-5.079466098582057,-1,0.0
-1.5100900351226956,0.28189124892939477,-5.079466098582057,-1,0.0
-2.4900744759575,0.28189124892939477,-5.079466098582057,-1,0.0
-4.228511407253322,0.28189124892939477,-5.079466098582057,-1,0.0
-3.4170535747921003,0.28189124892939477,-5.079466098582057,-1,0.0
-1.7813144339380105,0.28189124892939477,-5.079466098582057,-1,0.0
-2.420781907217314,0.28189124892939477,-5.079466098582057,0,0.0
-3.843009263828772,0.28189124892939477,-5.079466098582057,0,0.0
-4.14189740170417,0.28189124892939477,-5.079466098582057,0,0.0
-3.3267024792219146,0.28189124892939477,-5.079466098582057,0,0.0
-0.13885452628949546,0.28189124892939477,-5.079466098582057,0,0.0
-0.43566624295136125,0.28189124892939477,-5.079466098582057,0,0.0
-0.9485438285686429,0.28189124892939477,-5.079466098582057,0,0.0
-1.3100059935797885,0.28189124892939477,-5.079466098582057,0,0.0
-0.2806700518036388,0.28189124892939477,-5.079466098582057,0,0.0
-0.6404007614962066,0.28189124892939477,-5.079466098582057,0,0.0
-0.6991034442586828,0.28189124892939477,-5.079466098582057,0,0.0
-1.0256797340818542,0.28189124892939477,-5.079466098582057,0,0.0
-1.059347242094995,0.28189124892939477,-5.079466098582057,0,0.0
-1.3581806103031244,0.28189124892939477,-5.079466098582057,0,0.0
-0.8452414177033991,0.28189124892939477,-5.079466098582057,0,0.0
-2.1514359624502233,0.28189124892939477,-5.079466098582057,0,0.0
-2.708788363906189,0.28189124892939477,-5.079466098582057,0,0.0
-3.5428107019359643,0.28189124892939477,-5.079466098582057,0,0.0
-3.0391249595470704,0.28189124892939477,-5.079466098582057,0,0.0
-3.3983519097801254,0.28189124892939477,-5.079466098582057,0,0.0
-3.085743233429253,0.28189124892939477,-5.079466098582057,0,0.0
-3.335515798899813,0.28189124892939477,-5.079466098582057,0,0.0
-3.1558644392546094,0.28189124892939477,-5.079466098582057,0,0.0
-4.050269535044179,0.28189124892939477,-5.079466098582057,0,0.0
-5.204112429172909,0.28189124892939477,-5.079466098582057,-1,0.02324902492252417
-9.579294184083587,0.28189124892939477,-5.079466098582057,-1,0.8393076219010446
-9.538011113562227,0.28189124892939477,-5.079466098582057,-1,0.831607506455369
