timestamp,action,position,price,quantity,pnl,commission
2023-05-28 16:00:00,open,619,404.0404,619,0.0,125.05050379999999
2023-05-29 16:00:00,adjust,579,423.9576,40,796.6880000000015,8.479152000000001
2023-05-30 16:00:00,adjust,544,449.955,35,1607.0110000000002,7.8742125
2023-05-31 16:00:00,adjust,458,521.9478,86,10140.036400000005,22.4437554
2023-06-01 16:00:00,adjust,513,504.05039999999997,55,0.0,13.861386
2023-06-04 16:00:00,adjust,517,506.0506,4,0.0,1.0121012
2023-06-05 16:00:00,adjust,490,549.945,27,3630.8517597678933,7.4242575
2023-06-06 16:00:00,adjust,506,536.0536,16,0.0,4.2884288
2023-06-07 16:00:00,adjust,493,551.9448,13,1724.616914867624,3.5876412
2023-06-08 16:00:00,adjust,-514,563.9436000000001,1007,71318.18832536455,283.94560260000003
2023-06-11 16:00:00,adjust,-526,609.939,12,0.0,3.659634
2023-06-12 16:00:00,adjust,-521,616.0616,5,-255.34337642585513,1.540154
2023-06-13 16:00:00,adjust,-576,535.9464,55,0.0,14.738526000000002
2023-06-14 16:00:00,adjust,-535,574.0574,41,-485.35861383079623,11.7681767
2023-06-15 16:00:00,adjust,-589,519.948,54,0.0,14.038596
2023-06-18 16:00:00,adjust,-581,526.0526,8,258.3304800034866,2.1042104
2023-06-19 16:00:00,adjust,-574,534.0534,7,170.0335700030506,1.8691869
2023-06-20 16:00:00,adjust,-514,594.0594,60,-2142.92939997385,17.821782
2023-06-25 16:00:00,adjust,-567,535.9464,53,0.0,14.202579600000002
2023-06-26 16:00:00,adjust,-607,495.9504,40,0.0,9.919008
2023-06-27 16:00:00,adjust,-696,405.9594,89,0.0,18.0651933
2023-06-28 16:00:00,adjust,-754,369.963,58,0.0,10.728927000000002
2023-07-02 16:00:00,adjust,-541,478.0478,213,9144.916106721119,50.9120907
2023-07-03 16:00:00,adjust,-529,498.0498,12,275.1825412237249,2.9882988
2023-07-04 16:00:00,adjust,-487,538.0538,42,-717.0291057169636,11.299129800000001
2023-07-05 16:00:00,adjust,-491,537.9462,4,0.0,1.0758924
2023-07-06 16:00:00,adjust,-475,556.0556,16,-558.9714835683535,4.4484448
2023-07-09 16:00:00,adjust,-512,511.9488,37,0.0,9.471052799999999
2023-07-10 16:00:00,adjust,-506,518.0518,6,14.431969705834263,1.5541554
2023-07-11 16:00:00,adjust,-474,554.0554,32,-1075.1446949022175,8.8648864
2023-07-12 16:00:00,close,0,532.0532,474,-5496.537993239088,126.09660839999998
2023-08-02 16:00:00,open,-464,589.941,464,0.0,136.86631200000002
2023-08-03 16:00:00,adjust,-395,664.0664,69,-5114.652600000001,22.910290800000002
2023-08-06 16:00:00,adjust,-425,617.9382,30,0.0,9.269073
2023-08-07 16:00:00,adjust,-404,648.0648,21,-1179.0980682352929,6.8046804000000005
2023-08-08 16:00:00,adjust,-360,722.0722,44,-5726.816790588231,15.8855884
2023-08-09 16:00:00,adjust,-366,709.929,6,0.0,2.129787
2023-08-10 16:00:00,adjust,-345,754.0754,21,-3364.693680231433,7.9177916999999995
2023-08-13 16:00:00,adjust,-339,832.0832,6,-1429.3878514946957,2.4962496
2023-08-15 16:00:00,adjust,-472,475.9524,133,0.0,31.650834600000003
2023-08-16 16:00:00,adjust,-463,482.0482,9,707.2381142265838,2.1692169
2023-08-17 16:00:00,adjust,-477,469.95300000000003,14,0.0,3.2896710000000002
2023-08-20 16:00:00,adjust,-451,498.0498,26,1557.8947018540907,6.4746474
2023-08-21 16:00:00,adjust,-448,518.0518,3,119.75108098316446,0.7770777
2023-08-22 16:00:00,adjust,-414,560.056,34,-70.96388219080563,9.520952000000001
2023-08-23 16:00:00,adjust,-355,660.066,59,-6023.733207331104,19.471947
2023-08-24 16:00:00,adjust,-318,734.0734,37,-6515.86920120764,13.5803579
2023-08-27 16:00:00,adjust,-333,693.9306,15,0.0,5.204479500000001
2023-08-28 16:00:00,adjust,-343,673.9326,10,0.0,3.369663
2023-08-29 16:00:00,adjust,-351,655.9344,8,0.0,2.6237376
2023-08-30 16:00:00,adjust,-396,573.9426,45,0.0,12.913708499999998
2023-08-31 16:00:00,adjust,-356,638.0638,40,-2728.8889510893523,12.761276
2023-09-03 16:00:00,adjust,-350,652.0652,6,-493.3417426634028,1.9561956
2023-09-04 16:00:00,adjust,-340,672.0672,10,-1022.2562377723375,3.3603359999999998
2023-09-05 16:00:00,adjust,-319,720.072,21,-3154.8388993219096,7.5607560000000005
2023-09-06 16:00:00,adjust,-311,738.0738,8,-1345.8577902178704,2.9522952
2023-09-07 16:00:00,adjust,-331,691.9308,20,0.0,6.919308
2023-09-10 16:00:00,adjust,-277,812.0812,54,-12682.582095815294,21.9261924
2023-09-11 16:00:00,adjust,-266,838.0838,11,-2869.5175454438568,4.6094609
2023-09-12 16:00:00,adjust,-359,791.9208,93,0.0,36.824317199999996
2023-09-13 16:00:00,adjust,-346,818.0818,13,-2408.17187519495,5.317531700000001
2023-09-14 16:00:00,adjust,-341,832.0832,5,-996.2269519980578,2.0802080000000003
2023-09-17 16:00:00,adjust,-340,834.0834,1,-201.2455903996115,0.4170417
2023-09-18 16:00:00,adjust,-357,783.9216,17,0.0,6.6633336
2023-09-19 16:00:00,adjust,-369,759.924,12,0.0,4.559544
2023-09-20 16:00:00,adjust,-420,687.9312,51,0.0,17.542245599999998
2023-09-21 16:00:00,adjust,-424,695.9304,4,0.0,1.3918608
2023-09-24 16:00:00,adjust,-393,748.0748,31,-3049.178419839399,11.5951594
2023-09-25 16:00:00,adjust,-409,715.9284,16,0.0,5.7274272
2023-09-26 16:00:00,adjust,-400,732.0732,9,-717.918370768354,3.2943294
2023-09-27 16:00:00,adjust,-442,681.9318,42,0.0,14.3205678
2023-10-08 16:00:00,adjust,-395,760.076,47,-4932.943435808208,17.861786000000002
2023-10-09 16:00:00,adjust,-428,679.932,33,0.0,11.218878
2023-10-10 16:00:00,adjust,-412,704.0704,16,-752.6007966150246,5.6325632
2023-10-11 16:00:00,adjust,-398,734.0734,14,-1078.5676970381471,5.1385138
2023-10-12 16:00:00,adjust,-390,750.075,8,-744.3371983075131,3.0003
2023-10-15 16:00:00,adjust,-408,719.928,18,0.0,6.479352
2023-10-16 16:00:00,adjust,-420,749.925,12,0.0,4.499549999999999
2023-10-17 16:00:00,adjust,-445,703.9296,25,0.0,8.79912
2023-10-18 16:00:00,adjust,-411,754.0754,34,-3038.201600437534,12.819281799999999
2023-10-19 16:00:00,adjust,-417,743.9256,6,0.0,2.2317768
2023-10-22 16:00:00,adjust,-430,721.9278,13,0.0,4.692530700000001
