feature,importance
bohai_port_inventory_ma20,0.06129195291410916
J_ma_10,0.05179690156786431
JM_ma_5,0.047986444940322975
J_volatility_20,0.046434767049519425
spread_zscore_60,0.045827815775055965
spread_skew_60,0.040665222676141075
spread_std_60,0.03808176244994782
spread_ma_60,0.03754154982617401
J_price_to_ma_50,0.036064266120423724
coke_warehouse_receipt_ma20,0.03578366848795602
VIX_close,0.02959523034305327
J_ma_5,0.02797089802205806
spread_min_60,0.027489729824600653
distance_to_high,0.026617632131697152
JM_price_to_ma_50,0.025873172899614785
spread_max,0.025739785485951256
JM_ma_20,0.02479338183443677
spread_macd,0.024484247792583277
J_volatility_10,0.023849826274253052
spread_skew_20,0.022984927005739057
spread_position_60,0.02122563166272514
coking_coal_warehouse_receipt_ma20,0.018032230387281554
spread_ema_26,0.0173809663213119
spread_ma_20,0.017318895132080455
JM_ma_10,0.01718158460529345
bohai_port_inventory,0.016944238475865826
spread_diff_5d,0.015537967322053108
JM_return_20d,0.015534382099394629
spread_max_20,0.015103809027681636
spread_diff_10d,0.013187242191817362
spread_diff_20d,0.01314545161010788
distance_to_low,0.01243606969767763
spread_std_5,0.010581892005553494
J_price_to_ma_20,0.009412530278919057
spread_diff_1d,0.00923014456810608
spread_zscore,0.007689622876904384
J_return_5d,0.0067105231633067496
spread_mean,0.00658546920300556
J_return_20d,0.006526462557766235
spread_zscore_20,0.006473971066174138
spread_zscore_10,0.006341636479037461
spread_zscore_5,0.005310885470575652
spread_position_10,0.004990702280960755
spread_position_20,0.004733976708242062
J_return_10d,0.004628865619755202
J_price_to_ma_10,0.0046274508385303545
J_price_to_ma_5,0.004382778289156398
spread_percentile,0.0034902056450549267
J_return_1d,0.002572019082567735
spread_position_5,0.0018092119115914063
