feature,importance
Y_ma_10,0.13195280996532832
spread_diff_1d,0.07191468145279879
spread_max_10,0.04896367337652366
palm_oil_port_inventory_ma20,0.03796414916227513
Y_ma_50,0.03740536876268189
soybean_port_inventory_ma20,0.03605652717885579
P_ma_20,0.03566247527491302
Y_volume_ma_20,0.034097216561438756
spread_macd,0.03362572130063493
P_ma_50,0.02906901885177585
spread,0.026589936112532072
spread_ema_26,0.025839564409448672
palm_oil_port_inventory,0.02390371576229918
P_volume_ma_20,0.022727118644402248
soybean_oil_port_inventory_ma20,0.021816462647945848
VIX_close,0.020752329791641225
spread_std_60,0.02004476874768268
spread_diff_5d,0.019162435564942546
DXY_close,0.018777174448783872
distance_to_low,0.018059441396432473
spread_ma_60,0.01738837286539102
soybean_oil_port_inventory,0.01626872627982053
spread_max_60,0.015063046517793072
soybean_port_inventory,0.014998086649245622
spread_std,0.013589743011804017
spread_max_5,0.012926112740846792
spread_std_10,0.01282354620000773
Y_ma_20,0.01273637951534234
spread_std_20,0.012668291286465188
spread_ema_12,0.011832943584783784
spread_diff_20d,0.011691980094860156
spread_std_5,0.011226374981708396
spread_return_20d,0.01055975095095818
spread_diff_10d,0.010498818080807354
spread_min_60,0.010227714702337104
spread_ma_10,0.008525256011441412
P_ma_10,0.008403960977465473
spread_mean,0.007658497092421253
distance_to_high,0.007406047765195757
spread_min_5,0.007271375449497404
spread_min,0.007025541232022597
Y_ma_5,0.006810647057661997
spread_min_10,0.006287746763711208
spread_min_20,0.005877610046147787
spread_ma_20,0.005762902871769724
spread_ma_5,0.005406146705513761
P_ma_5,0.004939704933463923
spread_percentile,0.00449240827449984
spread_max,0.0030719071916521738
spread_max_20,0.0021757707520275006
