timestamp,action,position,price,quantity,pnl,commission
2023-05-29 16:00:00,open,356,424.0424,356,0.0,75.4795472
2023-05-30 16:00:00,adjust,329,449.955,27,699.6401999999999,6.0743925
2023-05-31 16:00:00,adjust,277,521.9478,52,5091.0808000000025,13.570642800000002
2023-06-01 16:00:00,adjust,-308,503.94960000000003,585,22134.294400000013,147.405258
2023-06-04 16:00:00,adjust,-317,505.9494,9,0.0,2.2767723
2023-06-05 16:00:00,adjust,-300,550.055,17,-782.826596845425,4.6754675
2023-06-06 16:00:00,adjust,-309,535.9464,9,0.0,2.4117588000000003
2023-06-07 16:00:00,adjust,-301,552.0552,8,-376.94825121435815,2.2082208000000003
2023-06-08 16:00:00,adjust,-312,563.9436000000001,11,0.0,3.1016898000000004
2023-06-11 16:00:00,adjust,-301,610.061,11,-1133.4835470235341,3.3553355000000002
2023-06-12 16:00:00,adjust,-298,616.0616,3,-327.1336764609637,0.9240924
2023-06-13 16:00:00,adjust,-330,535.9464,32,0.0,8.5751424
2023-06-14 16:00:00,adjust,-306,574.0574,24,-1541.6421038876906,6.8886888
2023-06-15 16:00:00,adjust,-336,519.948,30,0.0,7.799219999999999
2023-06-18 16:00:00,adjust,-332,526.0526,4,-61.30483362581003,1.0521052
2023-06-19 16:00:00,adjust,-328,534.0534,4,-93.30803362581014,1.0681068
2023-06-20 16:00:00,adjust,-294,594.0594,34,-2833.3222858193853,10.0990098
2023-06-25 16:00:00,adjust,-323,535.9464,29,0.0,7.7712228
2023-06-26 16:00:00,adjust,-347,495.9504,24,0.0,5.951404800000001
2023-06-27 16:00:00,adjust,-397,405.9594,50,0.0,10.148985000000001
2023-06-28 16:00:00,adjust,431,370.037,828,50992.09532850299,153.19531800000001
2023-06-29 16:00:00,adjust,456,372.0372,25,0.0,4.6504650000000005
2023-07-02 16:00:00,adjust,326,477.9522,130,14014.7201885965,31.066893
2023-07-03 16:00:00,adjust,319,497.9502,7,894.6247793859654,1.7428256999999998
2023-07-04 16:00:00,adjust,294,537.9462,25,4194.988497807019,6.724327499999999
2023-07-05 16:00:00,adjust,297,538.0538,3,0.0,0.8070807
2023-07-06 16:00:00,adjust,-288,555.9444,585,54678.207334210536,162.613737
2023-07-09 16:00:00,adjust,-324,511.9488,36,0.0,9.215078400000001
2023-07-10 16:00:00,adjust,-320,518.0518,4,132.01680000000033,1.0361036
2023-07-11 16:00:00,adjust,-300,554.0554,20,-59.987999999998465,5.540554
2023-07-12 16:00:00,adjust,-312,531.9468,12,0.0,3.1916808000000003
2023-07-13 16:00:00,adjust,-291,578.0578,21,-582.4721538461544,6.069606900000001
2023-07-16 16:00:00,adjust,-356,447.9552,65,0.0,14.558544
2023-07-17 16:00:00,adjust,-319,496.0496,37,1316.4984918323275,9.176917600000001
2023-07-18 16:00:00,adjust,-314,506.0506,5,127.90020159896329,1.2651264999999998
2023-07-19 16:00:00,adjust,-320,495.9504,6,0.0,1.4878512000000002
2023-07-20 16:00:00,adjust,-344,465.9534,24,0.0,5.5914408
2023-07-23 16:00:00,adjust,-320,502.0502,24,585.0234600289432,6.0246024
2023-07-24 16:00:00,adjust,-377,415.9584,57,0.0,11.8548144
2023-07-25 16:00:00,adjust,398,408.0408,775,38334.62400038593,158.11581
2023-07-26 16:00:00,adjust,330,493.9506,68,5841.866400000001,16.7943204
2023-07-27 16:00:00,adjust,300,543.9456,30,4077.1440000000007,8.159184
2023-07-30 16:00:00,adjust,320,558.0558,20,0.0,5.580558
2023-07-31 16:00:00,adjust,331,538.0538,11,0.0,2.9592959000000003
2023-08-01 16:00:00,adjust,-324,551.9448,655,43201.780999999995,180.761922
2023-08-02 16:00:00,adjust,-312,590.059,12,-457.3703999999998,3.540354
2023-08-03 16:00:00,adjust,-273,664.0664,39,-4372.742400000002,12.949294800000002
2023-08-06 16:00:00,adjust,-293,617.9382,20,0.0,6.179382
2023-08-07 16:00:00,adjust,-279,648.0648,14,-1282.614634812287,4.5364536
2023-08-08 16:00:00,adjust,-248,722.0722,31,-5134.304662798634,11.1921191
2023-08-09 16:00:00,adjust,-252,709.929,4,0.0,1.419858
2023-08-10 16:00:00,adjust,-238,754.0754,14,-2732.6564723549495,5.2785278
2023-08-13 16:00:00,adjust,-234,832.0832,4,-1092.7901921014145,1.6641664
2023-08-14 16:00:00,adjust,-233,840.084,1,-281.19834802535354,0.42004199999999997
2023-08-15 16:00:00,adjust,325,476.0476,558,19301.266110092616,132.8172804
2023-08-16 16:00:00,adjust,326,482.0482,1,0.0,0.24102410000000002
2023-08-17 16:00:00,adjust,335,470.04699999999997,9,0.0,2.1152115
2023-08-20 16:00:00,adjust,317,497.9502,18,396.82616238805974,4.4815518
2023-08-21 16:00:00,adjust,315,517.9482,2,84.08779582089562,0.5179482000000001
2023-08-22 16:00:00,adjust,291,559.944,24,2016.9527498507455,6.719328
2023-08-23 16:00:00,adjust,249,659.934,42,7729.247312238805,13.858614
2023-08-24 16:00:00,adjust,226,733.9266,23,5934.512851940299,8.4401559
2023-08-27 16:00:00,adjust,239,694.0694,13,0.0,4.5114511
2023-08-28 16:00:00,adjust,246,674.0674,7,0.0,2.3592359000000003
2023-08-29 16:00:00,adjust,252,656.0656,6,0.0,1.9681968000000003
2023-08-30 16:00:00,adjust,284,574.0574,32,0.0,9.1849184
2023-08-31 16:00:00,adjust,256,637.9362,28,3704.2722379482884,8.9311068
2023-09-03 16:00:00,adjust,253,651.9348,3,438.88211120874524,0.9779022
2023-09-04 16:00:00,adjust,245,671.9328,8,1330.3362965566544,2.6877312000000004
2023-09-05 16:00:00,adjust,231,719.928,14,3000.0213189741444,5.039496000000001
2023-09-06 16:00:00,adjust,226,737.9262,5,1161.4271853479088,1.8448155
2023-09-07 16:00:00,adjust,241,692.0692,15,0.0,5.190519
2023-09-10 16:00:00,adjust,202,811.9188,39,11492.309687681718,15.8324166
2023-09-11 16:00:00,adjust,-197,837.9162,399,64775.745490043766,167.1642819
2023-09-12 16:00:00,adjust,-280,791.9208,83,0.0,32.8647132
2023-09-13 16:00:00,adjust,-270,818.0818,10,62.00049285714272,4.090409
2023-09-14 16:00:00,adjust,-267,832.0832,3,-23.404052142857154,1.2481248
2023-09-18 16:00:00,adjust,-280,783.9216,13,0.0,5.0954904
2023-09-19 16:00:00,adjust,-289,759.924,9,0.0,3.419658
2023-09-20 16:00:00,adjust,-329,687.9312,40,0.0,13.758624
2023-09-21 16:00:00,adjust,-333,695.9304,4,0.0,1.3918608
2023-09-24 16:00:00,adjust,-308,748.0748,25,1374.2951771235512,9.350935
2023-09-25 16:00:00,adjust,-322,715.9284,14,0.0,5.0114988
2023-09-26 16:00:00,adjust,-316,732.0732,6,403.11395370488435,2.1962196000000005
2023-09-27 16:00:00,adjust,-349,681.9318,33,0.0,11.251874699999998
2023-10-08 16:00:00,adjust,-312,760.076,37,1039.2891651946081,14.061406000000002
2023-10-09 16:00:00,adjust,340,680.068,652,33726.23166326265,221.702168
2023-10-10 16:00:00,adjust,337,703.9296,3,71.5848000000002,1.0558944000000001
2023-10-11 16:00:00,adjust,325,733.9266,12,646.3032000000003,4.4035596
2023-10-12 16:00:00,adjust,319,749.925,6,419.1419999999998,2.2497749999999996
2023-10-15 16:00:00,adjust,334,720.072,15,0.0,5.40054
2023-10-16 16:00:00,adjust,345,750.075,11,0.0,4.1254125
2023-10-17 16:00:00,adjust,365,704.0704,20,0.0,7.040704
2023-10-18 16:00:00,adjust,337,753.9246,28,1926.0528000000031,10.5549444
2023-10-19 16:00:00,adjust,344,744.0744,7,0.0,2.6042604000000003
2023-10-22 16:00:00,adjust,354,722.0722,10,0.0,3.610361
2023-10-23 16:00:00,adjust,352,725.9274,2,77.16320790960458,0.7259274
2023-10-24 16:00:00,adjust,348,739.926,4,210.3208158192092,1.4798520000000002
2023-10-25 16:00:00,adjust,352,734.0734,4,0.0,1.4681468
2023-10-26 16:00:00,adjust,371,714.0714,19,0.0,6.783678300000001
2023-10-29 16:00:00,adjust,339,767.9232,32,2518.5569790853842,12.286771199999999
2023-10-30 16:00:00,adjust,-315,827.9172,654,47018.9289971858,270.72892440000004
2023-10-31 16:00:00,adjust,-323,839.916,8,0.0,3.3596640000000004
2023-11-01 16:00:00,adjust,-335,803.9196000000001,12,0.0,4.823517600000001
2023-11-02 16:00:00,adjust,-330,828.0828,5,-3.693385074627713,2.070207
2023-11-05 16:00:00,adjust,-331,857.9142,1,0.0,0.42895710000000004
2023-11-06 16:00:00,adjust,-358,829.917,27,0.0,11.203879500000001
2023-11-07 16:00:00,adjust,-347,856.0856,11,-313.0824613524562,4.7084708
2023-11-08 16:00:00,adjust,-323,912.0912,24,-2027.2234065871762,10.9450944
2023-11-09 16:00:00,adjust,-341,833.9166,18,0.0,7.505249400000001
2023-11-12 16:00:00,adjust,-330,866.0866,11,-419.43943699953945,4.763476300000001
2023-11-13 16:00:00,adjust,-327,876.0876,3,-144.39557372714705,1.3141314
2023-11-14 16:00:00,adjust,-344,839.916,17,0.0,7.139286
2023-11-16 16:00:00,adjust,-356,819.918,12,0.0,4.9195079999999995
2023-11-19 16:00:00,adjust,-332,872.0871999999999,24,-1051.950170983754,10.4650464
2023-11-20 16:00:00,adjust,-336,861.9138,4,0.0,1.7238276000000001
2023-11-21 16:00:00,adjust,-352,801.9198,16,0.0,6.415358400000001
2023-11-22 16:00:00,adjust,-359,785.9214000000001,7,0.0,2.7507249000000003
2023-11-23 16:00:00,adjust,-335,834.0834,24,-178.83982831924095,10.0090008
2023-11-26 16:00:00,adjust,-355,797.9202,20,0.0,7.979202000000001
2023-11-27 16:00:00,adjust,-332,854.0853999999999,23,-668.6378550703927,9.8219821
2023-11-28 16:00:00,adjust,-301,924.0924,31,-3071.424543790531,14.3234322
2023-11-29 16:00:00,adjust,-303,923.9076,2,0.0,0.9239076
2023-11-30 16:00:00,adjust,-306,917.9082,3,0.0,1.3768623
2023-12-03 16:00:00,adjust,-310,907.9092,4,0.0,1.8158184000000002
2023-12-04 16:00:00,adjust,-287,972.0972,23,-3322.957239923193,11.1791178
2023-12-05 16:00:00,adjust,-264,1040.104,23,-4887.113639923193,11.961196000000001
2023-12-06 16:00:00,adjust,-271,1019.898,7,0.0,3.569643
2023-12-07 16:00:00,adjust,-285,1001.8998,14,0.0,7.013298600000001
2023-12-10 16:00:00,adjust,-294,965.9034,9,0.0,4.3465653
2023-12-11 16:00:00,adjust,-295,961.9038,1,0.0,0.48095190000000004
2023-12-12 16:00:00,adjust,370,534.0534,665,91767.05534175117,177.5727555
2023-12-13 16:00:00,adjust,414,510.051,44,0.0,11.221122
2023-12-14 16:00:00,adjust,420,502.0502,6,0.0,1.5061506
2023-12-17 16:00:00,adjust,458,462.0462,38,0.0,8.7788778
2023-12-18 16:00:00,adjust,460,460.046,2,0.0,0.460046
2023-12-19 16:00:00,adjust,473,448.0448,13,0.0,2.9122912000000003
2023-12-20 16:00:00,adjust,442,475.9524,31,-1457.0162536997937,7.3772622000000005
2023-12-21 16:00:00,adjust,470,450.045,28,0.0,6.30063
2023-12-24 16:00:00,adjust,468,451.9548,2,-133.30934700553325,0.4519548
2023-12-25 16:00:00,adjust,496,430.043,28,0.0,6.020602
2023-12-26 16:00:00,adjust,502,430.043,6,0.0,1.2901289999999999
2023-12-27 16:00:00,adjust,512,422.0422,10,0.0,2.1102109999999996
2023-12-28 16:00:00,adjust,494,435.95640000000003,18,-1347.9412781002056,3.9236076000000004
2024-01-01 16:00:00,adjust,529,406.0406,35,0.0,7.105710500000001
2024-01-02 16:00:00,adjust,515,419.958,14,-1175.3013264588344,2.939706
2024-01-03 16:00:00,adjust,538,408.0408,23,0.0,4.6924692
2024-01-04 16:00:00,adjust,591,370.037,53,0.0,9.8059805
2024-01-07 16:00:00,adjust,600,364.0364,9,0.0,1.6381638
2024-01-08 16:00:00,adjust,594,365.9634,6,-722.0785579473577,1.0978902
2024-01-09 16:00:00,adjust,672,322.0322,78,0.0,12.559255799999999
2024-01-10 16:00:00,adjust,1045,280.028,373,0.0,52.225222
2024-01-11 16:00:00,adjust,1316,170.017,271,0.0,23.0373035
2024-01-14 16:00:00,adjust,1101,193.9806,215,-34183.22409947531,20.852914500000004
2024-01-15 16:00:00,adjust,1465,132.0132,364,0.0,24.026402400000002
2024-01-16 16:00:00,adjust,1710,112.0112,245,0.0,13.721371999999999
2024-01-17 16:00:00,adjust,2473,72.0072,763,0.0,27.4707468
2024-01-18 16:00:00,adjust,1790,91.99080000000001,683,-80525.60066736145,31.414858200000005
2024-01-21 16:00:00,adjust,1511,101.9898,279,-30104.338423417048,14.227577100000001
2024-01-22 16:00:00,adjust,666,175.9824,845,-28652.47510676488,74.352564
2024-01-23 16:00:00,adjust,661,175.9824,5,-169.54127282109397,0.439956
2024-01-24 16:00:00,adjust,944,120.012,283,0.0,16.981698
2024-01-25 16:00:00,adjust,2341,44.0044,1397,0.0,30.7370734
2024-01-28 16:00:00,adjust,6674,-12.0012,4333,0.0,26.0005998
2024-01-29 16:00:00,adjust,7884,8.0008,1210,0.0,4.840484000000001
2024-01-30 16:00:00,adjust,255,73.9926,7629,378839.8684123096,282.2447727
2024-01-31 16:00:00,adjust,256,96.0096,1,0.0,0.04800480000000001
2024-02-01 16:00:00,adjust,268,92.00919999999999,12,0.0,0.5520552000000001
2024-02-04 16:00:00,adjust,351,70.007,83,0.0,2.9052905
2024-02-05 16:00:00,adjust,1361,18.0018,1010,0.0,9.090909
2024-02-06 16:00:00,adjust,4787,2.0002,3426,0.0,3.4263426
2024-02-07 16:00:00,adjust,323,-33.9966,4464,-187430.44944361996,75.8804112
2024-02-18 16:00:00,adjust,612,-16.0016,289,0.0,2.3122312000000003
2024-02-19 16:00:00,adjust,172,-55.9944,440,-23168.332600785685,12.318768
2024-02-20 16:00:00,adjust,97,-97.9902,75,-7098.832602406651,3.6746325000000004
2024-02-21 16:00:00,adjust,205,-46.004599999999996,108,0.0,2.4842484
2024-02-22 16:00:00,adjust,295,-32.0032,90,0.0,1.440144
2024-02-25 16:00:00,adjust,124,-75.9924,171,-8257.317925926289,6.4973502
2024-02-26 16:00:00,adjust,142,-66.0066,18,0.0,0.5940594000000001
2024-02-27 16:00:00,adjust,90,-103.9896,52,-3714.3781291480395,2.7037295999999995
2024-02-28 16:00:00,adjust,77,-119.988,13,-1136.57373228701,0.779922
2024-02-29 16:00:00,adjust,75,-123.9876,2,-182.8566972749246,0.1239876
2024-03-03 16:00:00,adjust,89,-104.0104,14,0.0,0.7280728000000001
2024-03-04 16:00:00,adjust,84,-109.989,5,-330.95121055110525,0.2749725
2024-03-05 16:00:00,adjust,60,-153.9846,24,-2644.460210645305,1.8478152
2024-03-06 16:00:00,adjust,59,-173.9826,1,-130.18384211022104,0.0869913
2024-03-07 16:00:00,adjust,60,-172.0172,1,0.0,0.0860086
2024-03-10 16:00:00,adjust,67,-154.0154,7,0.0,0.5390539
2024-03-11 16:00:00,adjust,60,-169.983,7,-789.287537186885,0.5949405000000001
2024-03-12 16:00:00,adjust,52,-195.9804,8,-1110.0220996421542,0.7839216
2024-03-13 16:00:00,adjust,28,-361.9638,24,-7313.667898926462,4.3435656
2024-03-14 16:00:00,adjust,202,-266.0266,174,0.0,23.144314199999997
2024-03-17 16:00:00,adjust,192,-287.9712,10,-508.870304393443,1.439856
2024-03-18 16:00:00,adjust,222,-360.036,30,0.0,5.40054
2024-03-19 16:00:00,adjust,175,-471.9528,47,-10257.91535623713,11.0908908
2024-03-20 16:00:00,adjust,240,-356.0356,65,0.0,11.571157
2024-03-21 16:00:00,adjust,222,-395.9604,18,-2061.8105766087724,3.5636436
2024-03-24 16:00:00,adjust,215,-533.9466,7,-1767.7186242367447,1.8688131
2024-03-25 16:00:00,adjust,239,-482.0482,24,0.0,5.7845784
2024-03-26 16:00:00,adjust,271,-446.0446,32,0.0,7.1367136
2024-03-28 16:00:00,adjust,281,-426.0426,10,0.0,2.130213
2024-03-31 16:00:00,adjust,246,-495.9504,35,-6072.655480620999,8.679132
2024-04-01 16:00:00,adjust,258,-468.0468,12,0.0,2.8082808
2024-04-02 16:00:00,adjust,181,-661.9338,77,-25619.109677953817,25.4844513
2024-04-07 16:00:00,adjust,222,-520.052,41,0.0,10.661066000000002
2024-04-08 16:00:00,adjust,223,-516.0516,1,0.0,0.2580258
2024-04-09 16:00:00,adjust,214,-543.9456,9,-1609.2327280639895,2.4477552
2024-04-10 16:00:00,adjust,597,-170.017,383,0.0,32.5582555
2024-04-11 16:00:00,adjust,778,-128.0128,181,0.0,11.585158400000001
2024-04-14 16:00:00,adjust,5011,-20.002,4233,0.0,42.334233
2024-04-15 16:00:00,adjust,2478,-35.9964,2533,35746.950418518754,45.5894406
2024-04-16 16:00:00,adjust,2397,27.9972,81,6326.5937136596995,1.1338866
2024-04-17 16:00:00,adjust,1118,55.9944,1279,135706.11459963894,35.8084188
2024-04-18 16:00:00,adjust,1197,58.0058,79,0.0,2.2912291000000002
2024-04-21 16:00:00,adjust,432,141.9858,765,141493.869080765,54.309568500000005
2024-04-22 16:00:00,adjust,379,175.9824,53,11604.66301736019,4.663533600000001
2024-04-23 16:00:00,adjust,428,158.01579999999998,49,0.0,3.8713870999999997
2024-04-24 16:00:00,adjust,273,243.97560000000001,155,40910.490449207566,18.908109
2024-04-25 16:00:00,adjust,313,218.02179999999998,40,0.0,4.360436
2024-04-28 16:00:00,adjust,315,216.0216,2,0.0,0.2160216
2024-04-29 16:00:00,adjust,254,267.9732,61,15629.275714708725,8.1731826
2024-05-05 16:00:00,adjust,238,287.9712,16,4419.450154677698,2.3037696000000003
2024-05-06 16:00:00,adjust,275,250.025,37,0.0,4.6254625
2024-05-07 16:00:00,close,0,287.9712,275,67143.33045083076,39.59604
2024-06-25 16:00:00,open,1543,160.016,1543,0.0,123.452344
2024-06-26 16:00:00,adjust,1298,183.98160000000001,245,5871.572000000006,22.537746000000002
2024-06-27 16:00:00,adjust,1424,168.0168,126,0.0,10.5850584
2024-06-30 16:00:00,adjust,11734,14.0014,10310,0.0,72.177217
2024-07-01 16:00:00,adjust,1777,45.995400000000004,9957,141272.2179728652,228.9880989
2024-07-02 16:00:00,adjust,2618,34.0034,841,0.0,14.2984297
2024-07-03 16:00:00,adjust,13501,-6.0006,10883,0.0,32.652264900000006
2024-07-04 16:00:00,adjust,13207,-1.9998,294,-1019.4069107193812,0.29397059999999997
2024-07-07 16:00:00,adjust,3566,-11.9988,9641,-129829.27745661754,57.8402154
2024-07-08 16:00:00,adjust,7014,-2.0002,3448,0.0,3.4483448
2024-07-09 16:00:00,adjust,311,-39.996,6703,-266503.6066280092,134.04659400000003
