,Value
total_return,0.9728388605599003
annual_return,0.32837474036045466
volatility,0.4517539155903264
sharpe_ratio,0.6826166408707006
sortino_ratio,1.0690235916401747
calmar_ratio,1.121788484260147
max_drawdown,-0.29272429247393067
var_95,-0.014264975154477935
cvar_95,-0.048677368054658846
win_rate,0.5492424242424242
profit_factor,1.5435468477236638
total_trades,533.0
total_commission,12181.3900401
