,Value
total_return,1.5449019794980996
annual_return,0.4938921342107845
volatility,0.38123452864589513
sharpe_ratio,1.2430462054263536
sortino_ratio,1.5585572371576875
calmar_ratio,1.869200092818516
max_drawdown,-0.2642264656995913
var_95,-0.019201638835810098
cvar_95,-0.04269075781185555
win_rate,0.5576036866359447
profit_factor,2.602443384787418
total_trades,473.0
total_commission,9349.2314669025
