feature,importance
bohai_port_rail_inflow_ma20,0.07854781697594279
spread_macd,0.07712730078970803
spread_std_60,0.07645787200245653
JM_volume_ma_20,0.0645495320319939
JM_ma_20,0.05613927805225563
J_volume_ma_20,0.04377578424254173
bohai_port_inventory_ma20,0.04099933055329919
spread_diff_5d,0.038609203840906
bohai_port_inventory,0.036031073646572084
coking_coal_warehouse_receipt_ma20,0.03493370686711539
spread_min_60,0.03167117622806157
J_ma_20,0.028287258891580958
distance_to_low,0.025443809726989564
distance_to_high,0.023745699012577285
JM_ma_50,0.02081221126155939
spread_diff_1d,0.020296199815685846
spread_return_20d,0.01698554021272021
spread_std_20,0.016583812912384074
spread_diff_10d,0.01542530411139948
spread_std,0.014874489690363998
coke_warehouse_receipt,0.014850534477631053
spread_ma_60,0.014733221029893443
spread_diff_20d,0.014463494563878538
J_ma_10,0.013644342327740325
J_ma_50,0.01308993047960239
coke_warehouse_receipt_ma20,0.012669767934437757
spread_max_60,0.012516369518229613
spread,0.012358626564549363
JM_ma_5,0.01088305809936548
spread_std_10,0.010581822287100967
spread_max_20,0.010051054643709445
spread_max_10,0.00971972395041287
spread_max,0.009411746116296263
RB_close,0.008939208009536482
bohai_port_rail_inflow,0.008758116846199045
spread_ma_20,0.0087072668395057
JM_ma_10,0.008695024638451336
spread_percentile,0.006666543269559696
J_ma_5,0.005654522471110516
spread_min_10,0.00539495844597185
spread_ma_5,0.004493108369074809
spread_ma_10,0.004454508814386037
spread_ema_26,0.003076218318084287
spread_max_5,0.0030497921849979522
spread_mean,0.002966125680312416
spread_min_5,0.00282003692680905
spread_ema_12,0.002760388548651229
spread_min,0.001580668635733443
spread_min_20,0.0011988635078822672
coking_coal_warehouse_receipt,0.0005145556347728457
