,Value
total_return,0.023942317260925192
annual_return,0.00673209815688014
volatility,0.040963281977365644
sharpe_ratio,-0.3238974321064184
sortino_ratio,-0.31049483396348576
calmar_ratio,0.09945133198701069
max_drawdown,-0.06769238804925627
var_95,-0.002732409010234071
cvar_95,-0.005986268660425669
win_rate,0.5598290598290598
profit_factor,1.209058992261305
total_trades,501.0
total_commission,919.7543990749996
