mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_learning_rate,param_max_depth,param_min_samples_split,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
12.368807935714722,0.4721567982738108,0.0029982566833496095,0.0010952796278974688,0.01,3,2,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.8}",0.3854581673306773,0.40039840637450197,0.36354581673306774,0.47808764940239046,0.4123505976095618,0.40796812749003986,0.0386608175668783,3,0.5592629482071713,0.5428286852589641,0.5266434262948207,0.5625,0.5617529880478087,0.550597609561753,0.013966793060396136
13.339893198013305,0.4789498585679542,0.0025983333587646486,0.0004867107356317889,0.01,3,2,50,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 0.9}",0.3804780876494024,0.41733067729083667,0.3555776892430279,0.4820717131474104,0.40039840637450197,0.40717131474103585,0.04274011039103105,4,0.5577689243027888,0.5463147410358565,0.5194223107569721,0.5575199203187251,0.5642430278884463,0.5490537848605579,0.01589886050935054
15.305713367462157,0.2833780069524843,0.002600288391113281,0.0004884185681746339,0.01,3,2,50,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 50, 'subsample': 1.0}",0.3794820717131474,0.41932270916334663,0.35856573705179284,0.46912350597609564,0.4063745019920319,0.4065737051792828,0.0377194272804081,7,0.561503984063745,0.5448207171314741,0.5097111553784861,0.5525398406374502,0.5607569721115537,0.5458665338645418,0.019074030246988102
22.916593647003175,0.3485394103494207,0.003997993469238281,3.8099259100796083e-06,0.01,3,2,100,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.8}",0.33266932270916333,0.4123505976095618,0.38147410358565736,0.44223107569721115,0.40537848605577687,0.3948207171314741,0.03662631080342597,10,0.5871513944223108,0.5806772908366534,0.5948705179282868,0.5951195219123506,0.5916334661354582,0.5898904382470119,0.005432625555097452
26.058320713043212,0.3767179056269036,0.004197883605957031,0.0003987468275292421,0.01,3,2,100,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 0.9}",0.32270916334661354,0.4103585657370518,0.3615537848605578,0.450199203187251,0.40537848605577687,0.39003984063745023,0.04384552203705122,23,0.585906374501992,0.5826693227091634,0.5861553784860558,0.5991035856573705,0.5918824701195219,0.5891434262948207,0.005797035222521319
29.18927893638611,0.5061499315821276,0.00419921875,0.0003985551873388894,0.01,3,2,100,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 100, 'subsample': 1.0}",0.32171314741035856,0.4073705179282869,0.3705179282868526,0.4541832669322709,0.40139442231075695,0.39103585657370515,0.043791186025548906,17,0.5851593625498008,0.5734561752988048,0.5799302788844621,0.600597609561753,0.586902390438247,0.5852091633466135,0.009007476053103047
44.8744610786438,1.2285158678605639,0.006800127029418945,0.00040016390233507383,0.01,3,2,200,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.8}",0.3247011952191235,0.398406374501992,0.37749003984063745,0.41434262948207173,0.40239043824701193,0.3834661354581674,0.03169772793771488,29,0.647410358565737,0.6441733067729084,0.6663346613545816,0.6546314741035857,0.6533864541832669,0.6531872509960158,0.007610565524835554
50.724163722991946,1.0640682799949337,0.006902647018432617,0.0008033179157855792,0.01,3,2,200,0.9,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 0.9}",0.32270916334661354,0.398406374501992,0.38247011952191234,0.4073705179282869,0.40239043824701193,0.3826693227091633,0.031119083004268543,32,0.6449203187250996,0.6476593625498008,0.6665836653386454,0.6528884462151394,0.6499003984063745,0.6523904382470119,0.007564149238921149
56.02127709388733,0.1975227275417421,0.009398221969604492,0.0053143809010884144,0.01,3,2,200,1.0,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 2, 'n_estimators': 200, 'subsample': 1.0}",0.32669322709163345,0.3954183266932271,0.3804780876494024,0.4312749003984064,0.4213147410358566,0.3910358565737052,0.03689617321585853,15,0.6414342629482072,0.6411852589641435,0.6556274900398407,0.6558764940239044,0.6456673306772909,0.6479581673306772,0.006560487133491489
11.337361717224121,0.20106259342941837,0.003597879409790039,0.0012008485223153047,0.01,3,5,50,0.8,"{'learning_rate': 0.01, 'max_depth': 3, 'min_samples_split': 5, 'n_estimators': 50, 'subsample': 0.8}",0.3854581673306773,0.4043824701195219,0.36354581673306774,0.47808764940239046,0.4123505976095618,0.4087649402390438,0.038537451350404796,1,0.5595119521912351,0.5428286852589641,0.5266434262948207,0.5625,0.5617529880478087,0.5506474103585657,0.013998010944693924
