feature,importance
spread_std_60,0.06846643177265281
spread_ma_60,0.06530007168460693
bohai_port_inventory_ma20,0.05137807664263454
spread_macd,0.04123726392481829
distance_to_high,0.03632694535821437
J_ma_50,0.035252749585957664
J_volume_ma_20,0.032621571078875373
J_ma_20,0.03225945094159672
JM_volume_ma_20,0.03012586265315652
bohai_port_rail_inflow_ma20,0.02945467196436599
spread_return_20d,0.02898665037351315
spread_diff_1d,0.028130287681882294
spread_std_10,0.02789820171561876
bohai_port_inventory,0.02733206620057088
spread_max_10,0.023512929746119512
spread_diff_10d,0.022706901356036844
spread_diff_5d,0.022656691276829663
spread,0.022550902991561893
JM_ma_50,0.022543691590892357
coke_warehouse_receipt_ma20,0.02244619412957961
spread_diff_20d,0.021255381866876057
JM_ma_5,0.021062702377126947
RB_close,0.02037831338709542
JM_ma_20,0.017991541919529674
coke_warehouse_receipt,0.017823610381511566
spread_max_60,0.01699499126590376
spread_std_20,0.01656338819236124
coking_coal_warehouse_receipt_ma20,0.01608850532537449
spread_min_60,0.015373586957775633
JM_ma_10,0.014643734576538793
distance_to_low,0.014298814120869712
J_ma_5,0.011349759418129034
spread_std,0.011178791516993625
spread_min,0.010721575452718306
spread_min_5,0.00922861280282172
spread_ema_26,0.00856880801107657
bohai_port_rail_inflow,0.008522864645027179
J_ma_10,0.008327082692899033
spread_max_5,0.008292575855831322
spread_min_20,0.008236315669173532
spread_percentile,0.0070717762888554735
spread_mean,0.006964374766438589
spread_ma_5,0.006917943398209551
spread_ma_20,0.005966344371917361
spread_ema_12,0.005569862141541744
spread_ma_10,0.005399090932505445
spread_max,0.004545968448118824
spread_max_20,0.004431313394177042
spread_min_10,0.00341776693654437
coking_coal_warehouse_receipt,0.001626990216573913
