,Value
total_return,2.1813362971749752
annual_return,0.644274392621345
volatility,0.5100687940539705
sharpe_ratio,1.2239023439557652
sortino_ratio,1.6578185480988128
calmar_ratio,2.524529668263712
max_drawdown,-0.2552057124622566
var_95,-0.03032217104287816
cvar_95,-0.06481088110585846
win_rate,0.4926829268292683
profit_factor,2.8348481189005623
total_trades,453.0
total_commission,14478.299420032501
