feature,importance
J_volatility_20,0.06292763204291259
J_volume_ma_20,0.056464785540306976
J_ma_20,0.05451908380658327
distance_to_high,0.04631947508756654
spread_zscore_60,0.04591620989476407
spread_macd,0.04191743902550497
spread_ma_60,0.041767480905480735
spread_std_60,0.040074891321670435
spread_skew_60,0.03786756719697152
JM_ma_5,0.03659014433817045
JM_ma_50,0.03257065829490724
coke_warehouse_receipt_ma20,0.030979977884303248
J_price_to_ma_50,0.0308699451124254
spread_ema_26,0.027795873844028627
J_ma_5,0.026245964892090624
coking_coal_warehouse_receipt_ma20,0.025054052072898417
JM_price_to_ma_50,0.023820782945228238
JM_ma_20,0.022296085107730967
spread_skew_20,0.021381601143849634
J_ma_10,0.020824481655302454
JM_ma_10,0.020520368474742375
spread_min_60,0.019411709665108655
spread_position_60,0.019239585831718732
spread_diff_20d,0.018081506840456122
spread_std_10,0.012877296357988979
spread_diff_5d,0.01257112982303238
J_return_10d,0.012162647426033653
J_return_20d,0.012105526747044857
J_price_to_ma_20,0.01198440608810569
spread_diff_10d,0.011260761303675154
spread_diff_1d,0.010805490679710268
spread_zscore_20,0.010538395142620198
JM_return_20d,0.010075411707879067
spread_zscore,0.009442547149513317
spread_mean,0.009421386551261856
spread_std_5,0.009014354112433344
distance_to_low,0.00840197905589269
coke_warehouse_receipt,0.006816258074433332
spread_zscore_5,0.00680567437210752
spread_ma_20,0.006373336334365456
spread_position_20,0.006339059497698052
J_return_5d,0.006303049341088358
spread_zscore_10,0.00500728271388656
J_price_to_ma_10,0.004699687353052139
J_price_to_ma_5,0.004102442424635309
spread_position_10,0.0037175622474701505
J_return_1d,0.0028150810201078053
spread_percentile,0.001428977942472572
spread_position_5,0.0009936773315769884
coking_coal_warehouse_receipt,0.000479276277192055
